Bradyrhizobium sp. BTAi1,Cupriavidus metallidurans,Methylobacterium sp. C1,Methylobacterium radiotolerans,Bradyrhizobium sp. SK17,Bradyrhizobium sp. S23321,Bradyrhizobium diazoefficiens,Carnobacterium inhibens,Ralstonia pickettii,Bradyrhizobium japonicum,Bradyrhizobium sp. CCGE-LA001,Methylobacterium populi,Methylobacterium oryzae,Bradyrhizobium sp.,Methylobacterium phyllosphaerae,Leuconostoc carnosum,Paucibacter sp. KCTC 42545,Methylobacterium extorquens,Mitsuaria sp. 7,Roseateles depolymerans,Rhodococcus fascians,Cutibacterium acnes,Streptococcus oralis,Erwinia billingiae,Jeotgalibacillus malaysiensis,Pseudomonas rhizosphaerae,Bradyrhizobium sp. ORS 278,Carnobacterium sp. 17-4,Pantoea agglomerans,Erwinia gerundensis,Rhodococcus sp. PBTS 2,Chroococcidiopsis thermalis,Methanobrevibacter millerae,Cupriavidus basilensis,Streptococcus mitis,Bradyrhizobium sp. ORS 285,Exiguobacterium sibiricum,Bradyrhizobium oligotrophicum,Streptococcus gordonii,Bacillus subtilis,Streptococcus parasanguinis,Rathayibacter tritici,Turicibacter sp. H121,Pantoea sp. PSNIH2,Methylobacterium sp. AMS5,Carnobacterium maltaromaticum,Listeria monocytogenes,Brevundimonas vesicularis,Pantoea sp. PSNIH1,Devosia sp. H5989
0.003545043,0.005930165,0.001545209,0.011202614,0.002288638,0.008840542,0.01021395,0.017795942,0.001415174,0.002220417,0.002943603,0.008504564,0.000783409,0.00053828,0.000933899,0.004687566,0.007750116,0.00908363,0.001221714,0.007679318,0.002387847,0.004373603,0.001430392,0.004978226,0.001641716,0.004164921,0.000502694,0.001129181,0.000384313,0.000740056,0.000919254,0.003737197,0.002618925,0.000780504,0.002223325,0.003305626,0.001135276,0.001787641,0.002057693,0.000827507,0.004464232,0.004206103,0.000346948,0.004032518,0.000229605,0.000356548,0.001431337,0.003333512,0.000849028,0.001002503
0.00374618,0.002204693,0.002493219,0.003841448,0.00242276,0.010473792,0.003439025,0.001266873,0.00077262,0.001072322,0.000913715,0.001347803,0.009701848,0.005283044,0.001982278,0.001089761,0.013214435,0.003307722,0.003696174,0.008614525,0.001819808,0.006612145,0.00073595,0.002339249,0.001668784,0.000739058,0.000413675,0.001282413,0.007282666,0.002130723,0.002123857,0.001745946,0.001741172,0.000745,0.002295199,0.001466646,0.002357974,0.000471008,0.001757741,0.002525534,0.00191905,0.003087426,0.00342636,0.002823706,0.006077474,0.000307607,0.001723378,0.001203609,0.001288675,0.000523912
0.002981939,0.004005742,0.012942912,0.002777345,0.018709797,0.002825894,0.002772916,0.001219224,0.004263094,0.006079144,0.009140122,0.004548619,0.00094746,0.001526484,0.001367576,0.002108179,0.007844026,0.002592919,0.000489417,0.001143404,0.002526269,0.002868456,0.002921914,0.002207127,0.001049282,0.001487861,0.000949499,0.000828398,0.004404757,0.00135278,0.003662935,0.000910863,0.00059924,0.002653607,0.002973537,0.000682958,0.004723905,0.000352051,0.001329406,0.001213032,0.001625383,0.000731139,0.000440937,0.000725959,0.011852652,0.004706199,0.004421346,0.000276184,0.001674626,0.000592174
0.002063465,0.011003629,0.006882387,0.001178345,0.001606257,0.008867654,0.025417179,0.005443046,0.00087988,0.001172151,0.001040209,0.009171052,0.000920811,0.000939936,0.003949769,0.00382391,0.004642107,0.000749369,0.00052827,0.012009555,0.000701832,0.002912445,0.001850089,0.000829492,0.006546532,0.004995195,0.000868986,0.002277301,0.000964,0.005077014,0.00537122,0.000797844,0.001489354,0.002572192,0.000288334,0.001276212,0.000662269,0.00152666,0.002034248,0.00125571,0.004035608,0.003080899,0.000937073,0.001552535,0.000381055,0.000271711,0.000892528,0.002762468,0.00055972,0.006050552
0.004402546,0.002704229,0.002561809,0.013649481,0.001487987,0.009970688,0.004756094,0.006024498,0.001756278,0.001526189,0.001654352,0.008460724,0.000102616,0.000580542,0.000964113,0.006108292,0.000973431,0.007101929,0.003577385,0.000362469,0.001260967,0.003712452,0.002797756,0.00485747,0.003296135,0.003125351,0.000595728,0.004830966,0.000647508,0.004391905,0.001109674,0.00084527,0.001244613,0.000836391,0.004553221,0.000672701,0.000637846,0.002720821,0.00096192,0.002269849,0.000844156,0.004362986,0.001897405,0.001731651,0.005737858,0.000491888,0.001680916,0.002078982,0.004266898,0.001104807
0.010205611,0.005218309,0.017788197,0.004440421,0.000855151,0.002409306,0.003042706,0.003796112,0.008466596,0.009157475,0.00317559,0.002486081,0.000443763,0.001007212,0.000660476,0.001843215,0.000193512,0.000998034,0.007529518,0.001034588,0.00413297,0.002360986,0.001203284,0.000952016,0.003150512,0.000792234,0.006372265,0.005826874,0.000802111,0.003262386,0.005079528,0.003876811,0.003612695,0.002009958,0.000456719,0.000237221,0.001190491,0.000396229,0.001028128,0.002428933,0.000650645,0.000545303,0.002422705,0.001292855,0.00737705,0.000443175,0.001734267,0.002265412,0.000994686,0.000279554
0.011600638,0.002125723,0.001027402,0.010475173,0.011179197,0.002203008,0.013962036,0.000818561,0.002064819,0.00113601,0.005870085,0.008744802,0.002193806,0.007765134,0.001379878,0.002159466,0.00985078,0.008207976,0.000770599,0.001992125,0.001872559,0.003008084,0.003904942,0.001159828,0.002170121,0.004944448,0.000819642,0.000377581,0.001060038,0.000993656,0.003940346,0.010529964,0.002157379,0.000520261,0.003048801,0.001111558,0.003135351,0.001401328,0.001106267,0.00378272,0.002228976,0.000894582,0.002665475,0.002557019,0.00110196,0.004480541,0.000316006,0.000496845,0.000665722,0.000651028
0.007662038,0.003694262,0.003001699,0.002990084,0.001463579,0.021377388,0.001969628,0.001591655,0.00274707,0.002247744,0.002070986,0.000748883,0.00075363,0.008405301,0.003523114,0.010091885,0.001852491,0.002916321,0.009489812,0.001588688,0.004176902,0.004185412,0.001823281,0.001030031,0.001423752,0.00176726,0.000739303,0.000161642,0.001480016,0.001805108,0.005991749,0.001669894,0.000882837,0.001239199,0.003026687,0.007631145,0.001336895,3.89E-05,0.001614554,0.001911376,0.000309218,0.000415741,0.000262182,0.003008861,0.0013395,0.00040474,0.003028007,0.002706844,0.001233924,0.000384186
0.004655691,0.005129558,0.004192585,0.002039283,0.011253522,0.000784797,0.002029528,0.00074697,0.000371802,0.010477,0.002421069,0.0015099,0.006642689,0.000765451,0.000226522,0.002408875,0.001025995,0.009724631,0.009539334,0.018887989,0.000701053,0.004186023,0.004292363,0.005149218,0.001690943,0.000593957,0.000371566,0.003811314,0.006040732,0.001571541,0.001261059,0.001917175,0.000949738,0.001584271,0.000997973,0.001474852,0.00446054,0.000534228,0.001889001,0.002777075,0.003497225,0.003382633,0.003124277,0.002504679,0.000330132,0.001263149,0.005881361,0.003727279,0.00089533,0.005369675
0.009285437,0.005998404,0.00554907,0.004097584,0.010284958,0.002189625,0.001297201,0.00039851,0.013967292,0.008656492,0.001963423,0.000530213,0.000953975,0.007872959,0.001798407,0.003599985,0.00217452,0.008475127,0.001402964,0.000285977,0.00194045,0.002861418,0.002159476,0.00220025,0.000430246,0.000436851,0.000199509,0.000816686,0.001883583,0.002264548,0.003007093,0.001197478,0.004902894,0.000529313,0.000855542,0.000250087,0.001485764,0.000381738,0.004664033,0.001216704,0.002583657,0.0012045,0.000281668,0.003446161,0.000378917,0.000211182,0.001528278,0.001357604,0.001177842,0.001262437
