,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
knn_clr_1000,knn,clr,1000,0.003103018,0.18138987,0.196702002,0.221436985,0.412249706,0.527679623,0.18138987,0.18138987
LDA_total_sum_0,LDA,total_sum,0,12.91114688,0.436984688,0.521790342,0.546525324,0.57008245,0.591283863,0.436984688,0.436984688
LDA_total_sum_1e-10,LDA,total_sum,1.00E-10,13.31419802,0.094228504,0.11778563,0.122497055,0.129564193,0.154299176,0.094228504,0.094228504
LDA_total_sum_1e-09,LDA,total_sum,1.00E-09,13.59135723,0.113074205,0.136631331,0.142520612,0.153121319,0.177856302,0.113074205,0.113074205
LDA_total_sum_1e-08,LDA,total_sum,1.00E-08,12.80950785,0.094228504,0.109540636,0.115429918,0.124852768,0.153121319,0.094228504,0.094228504
LDA_total_sum_1e-07,LDA,total_sum,1.00E-07,13.45391202,0.143698469,0.169611307,0.17196702,0.182567727,0.209658422,0.143698469,0.143698469
LDA_total_sum_1e-06,LDA,total_sum,1.00E-06,13.39407301,0.467608952,0.5606596,0.586572438,0.614840989,0.639575972,0.467608952,0.467608952
LDA_total_sum_1e-05,LDA,total_sum,1.00E-05,13.3282671,0.606595995,0.711425206,0.755005889,0.799764429,0.838633687,0.606595995,0.606595995
LDA_total_sum_0.0001,LDA,total_sum,0.0001,13.28286624,0.711425206,0.797408716,0.81861013,0.861012956,0.898704358,0.711425206,0.711425206
LDA_total_sum_0.001,LDA,total_sum,0.001,13.73981595,0.482921084,0.575971731,0.636042403,0.723203769,0.817432273,0.482921084,0.482921084
LDA_total_sum_0.01,LDA,total_sum,0.01,13.27976012,0.255594817,0.378091873,0.477031802,0.57008245,0.718492344,0.255594817,0.255594817
LDA_total_sum_0.1,LDA,total_sum,0.1,13.11061287,0.182567727,0.341578327,0.477031802,0.567726737,0.694935218,0.182567727,0.182567727
LDA_total_sum_1,LDA,total_sum,1,13.34864879,0.182567727,0.341578327,0.477031802,0.567726737,0.693757362,0.182567727,0.182567727
LDA_total_sum_10,LDA,total_sum,10,13.03921604,0.182567727,0.341578327,0.477031802,0.567726737,0.693757362,0.182567727,0.182567727
LDA_total_sum_100,LDA,total_sum,100,13.64361024,0.182567727,0.341578327,0.477031802,0.567726737,0.689045936,0.182567727,0.182567727
LDA_total_sum_1000,LDA,total_sum,1000,13.38361335,0.182567727,0.341578327,0.477031802,0.567726737,0.68786808,0.182567727,0.182567727
linear_svc_clr_0,linear_svc,clr,0,56.70586276,0.892815077,0.93639576,0.956419317,0.96819788,0.979976443,0.896348645,0.896348645
linear_svc_clr_1e-10,linear_svc,clr,1.00E-10,56.61551619,0.888103651,0.93639576,0.957597173,0.967020024,0.981154299,0.896348645,0.896348645
linear_svc_clr_1e-09,linear_svc,clr,1.00E-09,56.91242814,0.89163722,0.937573616,0.957597173,0.965842167,0.979976443,0.896348645,0.896348645
linear_svc_clr_1e-08,linear_svc,clr,1.00E-08,56.53727102,0.89163722,0.935217903,0.958775029,0.967020024,0.981154299,0.896348645,0.896348645
linear_svc_clr_1e-07,linear_svc,clr,1.00E-07,56.76555586,0.890459364,0.934040047,0.959952886,0.96819788,0.979976443,0.896348645,0.896348645
linear_svc_clr_1e-06,linear_svc,clr,1.00E-06,56.53845191,0.885747939,0.93639576,0.957597173,0.965842167,0.979976443,0.896348645,0.896348645
linear_svc_clr_1e-05,linear_svc,clr,1.00E-05,56.77861309,0.89163722,0.935217903,0.958775029,0.96819788,0.978798587,0.896348645,0.896348645
linear_svc_clr_0.0001,linear_svc,clr,0.0001,56.52390814,0.89163722,0.937573616,0.958775029,0.96819788,0.981154299,0.896348645,0.896348645
linear_svc_clr_0.001,linear_svc,clr,0.001,56.50677919,0.890459364,0.938751472,0.958775029,0.96819788,0.981154299,0.896348645,0.896348645
linear_svc_clr_0.01,linear_svc,clr,0.01,56.60530472,0.892815077,0.934040047,0.956419317,0.969375736,0.979976443,0.895170789,0.895170789
