,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
LDA_clr_0.0001,LDA,clr,0.0001,9.69009518623352,0.5095011876484561,0.7458432304038005,0.830166270783848,0.9406175771971497,1.0,0.5095011876484561,0.5095011876484561
LDA_clr_0.001,LDA,clr,0.001,9.493119955062866,0.25415676959619954,0.33016627078384797,0.42755344418052255,0.7529691211401425,1.0,0.25415676959619954,0.25415676959619954
LDA_clr_0.01,LDA,clr,0.01,12.40916895866394,0.37885985748218526,0.4845605700712589,0.5629453681710214,0.8135391923990499,1.0,0.37885985748218526,0.37885985748218526
LDA_clr_0.1,LDA,clr,0.1,7.809268951416016,0.663895486935867,0.8598574821852731,0.9358669833729216,0.9845605700712589,1.0,0.663895486935867,0.663895486935867
LDA_clr_1,LDA,clr,1.0,11.035794019699097,0.7684085510688836,0.9299287410926366,0.9809976247030879,0.997624703087886,1.0,0.7684085510688836,0.7684085510688836
LDA_clr_10,LDA,clr,10.0,10.971843242645264,0.7850356294536817,0.9085510688836105,0.9513064133016627,0.982185273159145,1.0,0.7850356294536817,0.7850356294536817
LDA_clr_100,LDA,clr,100.0,9.7428879737854,0.49406175771971494,0.6828978622327792,0.8634204275534442,0.9619952494061758,1.0,0.49406175771971494,0.49406175771971494
LDA_clr_1000,LDA,clr,1000.0,9.925232887268066,0.36342042755344417,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.36342042755344417,0.36342042755344417
LDA_multiplicative_replacement_0,LDA,multiplicative_replacement,0.0,10.120233058929443,0.5190023752969121,0.6983372921615202,0.7802850356294537,0.9263657957244655,1.0,0.5190023752969121,0.5190023752969121
LDA_multiplicative_replacement_1e-10,LDA,multiplicative_replacement,1e-10,9.610780000686646,0.24109263657957244,0.3182897862232779,0.41211401425178146,0.7339667458432304,1.0,0.24109263657957244,0.24109263657957244
LDA_multiplicative_replacement_1e-09,LDA,multiplicative_replacement,1e-09,10.318585872650146,0.15795724465558195,0.24109263657957244,0.336104513064133,0.6983372921615202,1.0,0.15795724465558195,0.15795724465558195
LDA_multiplicative_replacement_1e-08,LDA,multiplicative_replacement,1e-08,10.361921787261963,0.25415676959619954,0.36223277909738716,0.4418052256532066,0.7612826603325415,1.0,0.25415676959619954,0.25415676959619954
LDA_multiplicative_replacement_1e-07,LDA,multiplicative_replacement,1e-07,9.7673978805542,0.27197149643705465,0.3681710213776722,0.4489311163895487,0.7612826603325415,1.0,0.27197149643705465,0.27197149643705465
LDA_multiplicative_replacement_1e-06,LDA,multiplicative_replacement,1e-06,9.841673851013184,0.5308788598574822,0.7232779097387173,0.8254156769596199,0.9370546318289786,1.0,0.5308788598574822,0.5308788598574822
LDA_multiplicative_replacement_1e-05,LDA,multiplicative_replacement,1e-05,9.599454879760742,0.6057007125890737,0.8182897862232779,0.9061757719714965,0.9738717339667459,1.0,0.6057007125890737,0.6057007125890737
